task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,robot_model,immediate_reward,total_disc_reward
3,1565017495,950894373,1565017506,611605969,"""planning for grasping""","""MayBeTired""","""HumanDoingOk""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,0.0
3,1565017495,950894373,1565017510,435964254,"""planning for grasping""","""MayBeTired""","""MayBeTired""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,0.0
3,1565017495,950894373,1565017514,983744570,"""planning for grasping""","""NeedsHelp""","""MayBeTired""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,0.0
3,1565017495,950894373,1565017517,47003958,"""grasp""","""NeedsHelp""","""NeedsHelp""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,0.0
3,1565017495,950894373,1565017520,783634819,"""idle""","""HumanDoingOk""","""HumanDoingOk""","""proactive_average_takeOneReasses_loyal.pomdpx""",6,5.88
3,1565017495,950894373,1565017523,282245954,"""cancel all actions""","""WarningReceived""","""WarningReceived""","""proactive_average_takeOneReasses_loyal.pomdpx""",-3.0,2.88
3,1565017495,950894373,1565017523,282245954,"""cancel all actions""","""WarningReceived""","""WarningReceived""","""proactive_average_takeOneReasses_loyal.pomdpx""",-3.0,0.05642400000000025
3,1565017495,950894373,1565017523,282245954,"""cancel all actions""","""WarningReceived""","""WarningReceived""","""proactive_average_takeOneReasses_loyal.pomdpx""",-3.0,-2.6011031425919993
3,1565017495,950894373,1565017532,916303323,"""idle""","""WarningReceived""","""WarningReceived""","""proactive_average_takeOneReasses_loyal.pomdpx""",-3.0,-5.052321563254639
3,1565017495,950894373,1565017532,916303323,"""idle""","""WarningReceived""","""WarningReceived""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,-5.052321563254639
3,1565017495,950894373,1565017532,916303323,"""idle""","""WarningReceived""","""WarningReceived""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,-5.052321563254639
3,1565017495,950894373,1565017539,298407319,"""idle""","""HumanDoingOk""","""HumanDoingOk""","""proactive_average_takeOneReasses_loyal.pomdpx""",6,-0.8815095781124436
