rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1.5650153169037E+018,1,0,28,"""ROBOT""",,1565015316,891556267,'',,1565015316,257380210,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,15.350791646302822,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.5650153169037E+018,1,0,29,"""ROBOT""",,1565015316,891556267,'',,1565015316,257380210,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,15.350791646302822,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501532202433E+018,1,0,30,"""ROBOT""",,1565015322,13860248,'',,1565015321,966525673,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",-6,10.7366573107422,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501532448641E+018,1,0,31,"""ROBOT""",,1565015324,472720653,'',,1565015323,371886399,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.7366573107422,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501532448641E+018,1,0,32,"""ROBOT""",,1565015324,472720653,'',,1565015323,371886399,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.7366573107422,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501533330965E+018,1,0,33,"""ROBOT""",,1565015333,297712762,'',,1565015330,763078051,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",-6,5.632079175251486,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501533480628E+018,1,0,34,"""ROBOT""",,1565015334,794265135,'',,1565015334,671524037,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,5.632079175251486,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501534461981E+018,1,0,35,"""ROBOT""",,1565015338,859154127,'',,1565015336,177311065,"""grasp""","""NeedsHelp""","""NeedsHelp""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,5.632079175251486,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501534461981E+018,1,0,36,"""ROBOT""",,1565015338,859154127,'',,1565015336,177311065,"""grasp""","""NeedsHelp""","""NeedsHelp""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,5.632079175251486,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501534742271E+018,1,0,37,"""ROBOT""",,1565015347,411750593,'',,1565015347,353936174,"""idle""","""GlobalFail""","""GlobalFail""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,5.632079175251486,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501534742271E+018,1,0,37,"""ROBOT""",,1565015347,411750593,'',,1565015347,353936174,"""idle""","""GlobalFail""","""GlobalFail""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",-6,1.289292851696513,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501721524079E+018,2,0,1,"""ROBOT""",,1565017215,222083821,'',,1565017214,789820892,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,0.0,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501721662624E+018,2,0,2,"""ROBOT""",,1565017216,615115764,'',,1565017216,586128150,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,0.0,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501721821928E+018,2,0,3,"""ROBOT""",,1565017218,207450525,'',,1565017218,6022600,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,5.315054285183999,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501721973115E+018,2,0,4,"""ROBOT""",,1565017219,720632718,'',,1565017219,579136258,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,5.315054285183999,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501721973115E+018,2,0,5,"""ROBOT""",,1565017219,720632718,'',,1565017219,579136258,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,5.315054285183999,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501722359642E+018,2,0,6,"""ROBOT""",,1565017223,584797026,'',,1565017223,531587773,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,10.738579065983998,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501722519479E+018,2,0,7,"""ROBOT""",,1565017225,182357476,'',,1565017224,981406319,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.738579065983998,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501722707036E+018,2,0,8,"""ROBOT""",,1565017227,58609173,'',,1565017226,584250854,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.738579065983998,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501722707036E+018,2,0,9,"""ROBOT""",,1565017227,58609173,'',,1565017226,584250854,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.738579065983998,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501723007403E+018,2,0,10,"""ROBOT""",,1565017230,57793644,'',,1565017229,752370790,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,16.053633351167996,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
