task_id,total_disc_reward,cumulative_reward,moving_avg_reward,overall_est_accur,warnings_received,cumulative_warnings,moving_avg_warnings,robot_model_ID
161,5.88,625.3471398000005,3.8841437254658415,100.0,0,35.0,0.21739130434782608,6
162,5.7624,631.1095398000004,3.895737900000003,66.66666666666666,0,35.0,0.21604938271604937,6
163,5.88,636.9895398000004,3.9079112871165673,100.0,0,35.0,0.2147239263803681,6
164,5.88,642.8695398000004,3.9199362182926856,100.0,0,35.0,0.21341463414634146,6
165,-0.769022,642.1005178000005,3.8915182896969727,40.0,0,35.0,0.21212121212121213,6
166,5.64715,647.7476678000005,3.9020943843373526,100.0,0,35.0,0.21084337349397592,2
167,5.64715,653.3948178000005,3.9125438191616797,60.0,0,35.0,0.20958083832335328,2
168,-3.61793,649.7768878000005,3.867719570238098,62.5,1,36.0,0.21428571428571427,2
169,5.88,655.6568878000005,3.879626555029589,100.0,0,36.0,0.21301775147928995,5
170,5.31505,660.9719378000005,3.8880702223529444,37.5,0,36.0,0.21176470588235294,5
171,-0.0553421,660.9165957000006,3.8650093315789507,57.14285714285714,1,37.0,0.21637426900584794,5
172,-2.71176,658.2048357000006,3.8267723005813985,50.0,0,37.0,0.21511627906976744,2
173,4.50116,662.7059957000006,3.830670495375726,42.857142857142854,0,37.0,0.2138728323699422,5
174,-0.903921,661.8020747000006,3.803460199425291,71.42857142857143,0,37.0,0.21264367816091953,6
175,5.31505,667.1171247000007,3.812097855428575,62.5,0,37.0,0.21142857142857144,2
176,5.53421,672.6513347000007,3.821882583522731,60.0,0,37.0,0.21022727272727273,5
177,5.53421,678.1855447000007,3.8315567497175183,66.66666666666666,0,37.0,0.20903954802259886,5
178,-2.7671,675.4184447000007,3.7944856443820263,33.33333333333333,0,37.0,0.20786516853932585,2
179,5.53421,680.9526547000007,3.8042047748603394,66.66666666666666,0,37.0,0.20670391061452514,3
180,5.88,686.8326547000007,3.8157369705555597,100.0,0,37.0,0.20555555555555555,6
181,5.53421,692.3668647000007,3.825231296685087,40.0,0,37.0,0.20441988950276244,6
182,2.54795,694.9148147000008,3.8182132675824216,37.5,1,38.0,0.2087912087912088,6
183,-3.63413,691.2806847000007,3.777490080327873,71.42857142857143,0,38.0,0.20765027322404372,2
184,4.57381,695.8544947000007,3.7818179059782646,50.0,1,39.0,0.21195652173913043,2
185,5.88,701.7344947000007,3.7931594308108147,100.0,0,39.0,0.21081081081081082,2
186,-2.71176,699.0227347000007,3.758186745698928,71.42857142857143,0,39.0,0.20967741935483872,2
187,-3.7083,695.3144347000007,3.7182590090909127,33.33333333333333,1,40.0,0.21390374331550802,2
188,-5.4811,689.8333347000007,3.6693262484042592,62.5,1,41.0,0.21808510638297873,2
189,5.64715,695.4804847000007,3.679790924338628,80.0,0,41.0,0.21693121693121692,2
190,5.88,701.3604847000007,3.691370972105267,100.0,0,41.0,0.21578947368421053,2
191,-6.38835,694.9721347000008,3.6385975638743497,25.0,2,43.0,0.225130890052356,2
192,-2.71176,692.2603747000007,3.6055227848958373,42.857142857142854,0,43.0,0.22395833333333334,2
193,5.7624,698.0227747000007,3.616698314507776,100.0,0,43.0,0.22279792746113988,2
194,5.88,703.9027747000007,3.628364818041241,100.0,0,43.0,0.22164948453608246,2
195,5.42352,709.3262947000007,3.637570742051286,42.857142857142854,0,43.0,0.2205128205128205,2
196,1.63955,710.9658447000007,3.6273767586734733,71.42857142857143,1,44.0,0.22448979591836735,2
197,-3.63413,707.3317147000007,3.590516318274115,57.14285714285714,1,45.0,0.22842639593908629,2
198,-2.71176,704.6199547000007,3.558686639898993,28.57142857142857,0,45.0,0.22727272727272727,2
199,5.88,710.4999547000007,3.570351531155782,100.0,0,45.0,0.22613065326633167,2
200,5.88,716.3799547000007,3.5818997735000035,100.0,0,45.0,0.225,2
