task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,moving_avg_time,task_status,moving_avg_status,who_succeeded
313,1538347670,767390242,1538347714,77947447,44.01208424568176,27.952298926088375,1,0.8753993610223643,"""robot"""
314,1538347735,267894710,1538347757,78333986,22.515445232391357,27.93498410540781,1,0.8757961783439491,"""human"""
315,1538347772,385722118,1538347789,78311224,17.397390127182007,27.901531426111855,1,0.8761904761904762,"""human"""
316,1538347805,312340501,1538347833,78311275,28.47077226638794,27.903332821176022,1,0.8765822784810127,"""human"""
317,1538347848,413969116,1538347888,78090849,40.366939544677734,27.942650192543535,1,0.8769716088328076,"""robot"""
318,1538347917,166150363,1538347970,110448460,52.94429802894592,28.021271726620274,0,0.8742138364779874,''
319,1538347986,580414084,1538348009,78181066,23.201396703720093,28.006162400529675,1,0.8746081504702194,"""robot"""
320,1538348024,885428779,1538348077,726993093,52.841564416885376,28.083773031830788,0,0.871875,''
321,1538348094,728398669,1538348102,78370731,8.055308818817139,28.02137906231984,1,0.8722741433021807,"""human"""
322,1538348117,650317464,1538348155,78364027,38.133322954177856,28.052782614779026,1,0.8726708074534162,"""robot"""
323,1538348182,493522618,1538348204,77857989,22.285057306289673,28.03492588007782,1,0.8730650154798761,"""robot"""
324,1538348218,77535656,1538348250,78271904,32.007362604141235,28.04718648725086,1,0.8734567901234568,"""robot"""
325,1538348263,418371151,1538348315,944221145,52.52585005760193,28.122505452082706,1,0.8738461538461538,"""robot"""
326,1538348332,589932565,1538348385,210468905,52.62053632736206,28.197652786055958,1,0.8742331288343558,"""robot"""
327,1538348397,608328444,1538348430,78275515,33.174426794052124,28.21287227843515,1,0.8746177370030581,"""robot"""
328,1538348444,344577711,1538348465,78186332,21.43728542327881,28.192215001437724,1,0.875,"""robot"""
329,1538348482,187560202,1538348498,78249599,16.594935655593872,28.15696491224063,1,0.8753799392097265,"""human"""
330,1538348514,741373692,1538348567,195265965,52.45389223098755,28.23059196472168,1,0.8757575757575757,"""robot"""
331,1538348585,233829464,1538348626,77956660,41.54573702812195,28.270818989082407,1,0.8761329305135952,"""robot"""
332,1538348638,722959579,1538348676,77820100,38.05524158477783,28.300290141479078,1,0.8765060240963856,"""robot"""
