task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
23,7,"""OBSERVATION""",,1531923582,381176962,"[False, False, False, False, False, False]",0,0,0,0,0,0
23,8,"""OBSERVATION""",,1531923584,800897364,"[False, False, False, False, False, False]",0,0,0,0,0,0
23,9,"""OBSERVATION""",,1531923587,199457797,"[False, False, False, False, False, False]",0,0,0,0,0,0
23,10,"""OBSERVATION""",,1531923589,631048678,"[False, False, False, False, False, False]",0,0,0,0,0,0
23,11,"""OBSERVATION""",,1531923592,1974627,"[False, False, False, False, False, False]",0,0,0,0,0,0
23,12,"""OBSERVATION""",,1531923594,434144433,"[False, False, False, False, False, False]",0,0,0,0,0,0
23,13,"""OBSERVATION""",,1531923596,815146742,"[False, False, False, False, False, False]",0,0,0,0,0,0
23,14,"""OBSERVATION""",,1531923599,233106797,"[False, False, False, False, False, False]",0,0,0,0,0,0
23,15,"""OBSERVATION""",,1531923601,634607407,"[False, False, False, False, False, False]",0,0,0,0,0,0
23,16,"""OBSERVATION""",,1531923607,104804721,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,1,"""OBSERVATION""",,1531923622,267999239,"[True, False, False, False, False, True]",1,0,0,0,0,1
24,2,"""OBSERVATION""",,1531923624,643591221,"[True, False, False, False, False, True]",1,0,0,0,0,1
24,3,"""OBSERVATION""",,1531923627,25382672,"[False, True, False, False, False, False]",0,1,0,0,0,0
24,4,"""OBSERVATION""",,1531923629,432805471,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,5,"""OBSERVATION""",,1531923631,840652422,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,6,"""OBSERVATION""",,1531923634,232664448,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,7,"""OBSERVATION""",,1531923636,646382570,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,8,"""OBSERVATION""",,1531923639,22703329,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,9,"""OBSERVATION""",,1531923641,411772619,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,10,"""OBSERVATION""",,1531923643,842386723,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,11,"""OBSERVATION""",,1531923646,260044413,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,12,"""OBSERVATION""",,1531923648,679471981,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,13,"""OBSERVATION""",,1531923651,68094771,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,14,"""OBSERVATION""",,1531923653,487578770,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,15,"""OBSERVATION""",,1531923655,908313430,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,16,"""OBSERVATION""",,1531923658,349396723,"[False, False, False, False, False, False]",0,0,0,0,0,0
24,17,"""OBSERVATION""",,1531923664,627868968,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,1,"""OBSERVATION""",,1531923679,769613804,"[True, False, False, False, False, True]",1,0,0,0,0,1
25,2,"""OBSERVATION""",,1531923682,135955135,"[True, False, False, False, False, True]",1,0,0,0,0,1
25,3,"""OBSERVATION""",,1531923684,540401664,"[False, True, False, False, False, False]",0,1,0,0,0,0
25,4,"""OBSERVATION""",,1531923686,943183708,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,5,"""OBSERVATION""",,1531923689,315577408,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,6,"""OBSERVATION""",,1531923691,728144325,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,7,"""OBSERVATION""",,1531923694,161640354,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,8,"""OBSERVATION""",,1531923696,581331538,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,9,"""OBSERVATION""",,1531923698,987658795,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,10,"""OBSERVATION""",,1531923701,428906779,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,11,"""OBSERVATION""",,1531923703,816491748,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,12,"""OBSERVATION""",,1531923706,221647994,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,13,"""OBSERVATION""",,1531923708,643417950,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,14,"""OBSERVATION""",,1531923711,18339407,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,15,"""OBSERVATION""",,1531923713,432843068,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,16,"""OBSERVATION""",,1531923715,856995745,"[False, False, False, False, False, False]",0,0,0,0,0,0
25,17,"""OBSERVATION""",,1531923722,233643733,"[False, False, False, False, False, False]",0,0,0,0,0,0
26,1,"""OBSERVATION""",,1531923737,375780233,"[True, False, False, False, False, True]",1,0,0,0,0,1
26,2,"""OBSERVATION""",,1531923741,769234135,"[True, True, False, False, False, True]",1,1,0,0,0,1
26,3,"""OBSERVATION""",,1531923744,157143772,"[True, False, False, False, False, False]",1,0,0,0,0,0
26,4,"""OBSERVATION""",,1531923746,546960534,"[False, False, False, False, False, False]",0,0,0,0,0,0
26,5,"""OBSERVATION""",,1531923748,962761639,"[False, False, False, False, False, False]",0,0,0,0,0,0
26,6,"""OBSERVATION""",,1531923751,345756306,"[False, False, False, False, False, False]",0,0,0,0,0,0
26,7,"""OBSERVATION""",,1531923753,766551295,"[False, False, False, False, False, False]",0,0,0,0,0,0
26,8,"""OBSERVATION""",,1531923756,163033258,"[False, False, False, False, False, False]",0,0,0,0,0,0
26,9,"""OBSERVATION""",,1531923758,566458057,"[False, False, False, False, False, False]",0,0,0,0,0,0
26,10,"""OBSERVATION""",,1531923761,39249042,"[False, False, False, False, False, False]",0,0,0,0,0,0
26,11,"""OBSERVATION""",,1531923763,523883337,"[False, False, False, False, False, False]",0,0,0,0,0,0
26,12,"""OBSERVATION""",,1531923765,978390178,"[False, False, False, False, False, False]",0,0,0,0,0,0
26,13,"""OBSERVATION""",,1531923768,438310351,"[False, False, False, False, False, False]",0,0,0,0,0,0
26,14,"""OBSERVATION""",,1531923770,841366797,"[False, False, False, False, False, False]",0,0,0,0,0,0
26,15,"""OBSERVATION""",,1531923773,254918927,"[False, False, False, False, False, False]",0,0,0,0,0,0
