task_id,total_disc_reward,warnings_received,time_took,task_status
167,4.972222,0.2,36.67880354,0.8
168,3.707898,0.2,24.38851995,0.8
169,3.979056,0,24.38851995,0.8
170,3.910566,0,26.99257693,0.8
171,5.251698,0,19.56904273,1
172,5.652194,0,19.95785527,1
173,5.88,0,7.298278093,1
174,5.077212,0.2,22.48108001,1
175,0.8272292,0,22.48108001,0.6
176,5.553896,0.2,13.53141909,1
177,5.505328,0,16.8285347,1
178,4.881312,0.6,29.32775421,1
179,3.7450186,0.2,27.20331864,1
180,3.805874,0,31.1565362,0.8
181,4.351968,0.2,29.71742811,1
182,4.917446,0,31.21056757,1
183,4.169112,0,35.21764531,1
184,5.436614,0.2,41.1566103,1
185,4.371312,0.4,41.1566103,1
186,4.740094,0.2,35.21764531,1
187,5.133254,0,41.1566103,1
188,4.932542,0.2,41.1566103,1
189,3.449354,0,39.76226444,0.8
190,3.054018,0.2,32.21104794,0.8
191,3.632614,0,40.43147736,0.8
192,3.138118,0,41.1566103,0.8
193,2.02243,0.4,41.1566103,0.6
194,5.106046,0,41.1566103,1
195,3.394792,0,41.84573693,0.8
196,3.28003,0.4,41.14782624,0.8
197,4.03625,0,38.4420063,1
198,4.963068,0.6,41.1566103,1
199,2.880766,0,41.73093777,0.8
200,3.30549,0.2,41.54420152,0.8
201,4.030068,0.2,45.83395271,1
202,4.0031468,0,41.54420152,1
203,5.437472,0.2,41.54420152,1
204,4.498774,0.4,45.83395271,1
205,2.884186,0.2,45.83395271,0.8
206,4.998884,0,41.54420152,1
207,4.697064,0.2,53.94923859,1
208,5.219402,0.2,41.54420152,1
209,3.3807376,0,53.94923859,0.8
210,3.259818,0,45.83395271,0.8
211,5.80944,0,34.45394301,1
212,5.85648,0,34.45394301,1
213,5.88,0,34.45394301,1
214,5.80944,0,34.45394301,1
215,5.78686,0,11.66831274,1
216,5.85648,0,7.993493891,1
217,5.83343,0,8.816695595,1
218,5.80944,0,9.316315269,1
219,5.14529,0.2,14.5962522,1
220,5.80944,0,9.953955412,1
221,5.80944,0,9.72452035,1
222,5.85648,0,7.778184843,1
223,5.11071,0.2,13.46240501,1
224,5.76287,0,11.79943099,1
225,5.12247,0.2,17.40827532,1
226,5.85648,0,7.70832715,1
227,5.80944,0,9.942263174,1
228,5.83296,0,9.040329075,1
229,5.78592,0,10.4190392,1
230,5.80991,0,10.13131557,1
231,5.80991,0,9.955104876,1
232,5.69871,0,13.71318064,1
233,5.80944,0,9.637562323,1
234,5.80944,0,9.700062847,1
235,4.4797916,0,18.13604136,0.8
236,5.76334,0,12.1084559,1
237,5.74349,0,11.77581372,1
238,5.83343,0,9.1682405,1
239,5.83296,0,8.859375238,1
240,5.80944,0,9.250605297,1
241,3.258398,0.2,18.13604136,0.8
242,2.4321916,0.2,18.13604136,0.6
243,4.3618298,0,18.13604136,0.8
244,4.172494,0,16.26223645,0.8
245,5.085636,0.2,21.78406348,1
246,4.1824198,0,22.93576989,0.8
247,2.908856,0.4,18.13604136,0.8
248,3.213572,0.2,18.13604136,0.8
249,5.380992,0.2,25.75241203,1
250,4.76033,0.2,22.93576989,1
251,5.281364,0,18.13604136,1
252,3.317746,0,18.13604136,0.8
253,5.391834,0.2,26.44125419,1
254,4.594588,0,31.64438944,1
255,2.269078,0,18.13604136,0.6
256,3.844806,0,32.41736326,0.8
257,1.390708,0.2,22.93576989,0.6
258,3.545536,0.2,29.25537252,0.8
259,3.876912,0,34.43179235,0.8
260,3.755094,0.2,30.82303882,0.8
261,3.47239,0,36.23198571,0.8
262,3.798266,0.2,30.19583125,0.8
263,5.306824,0,28.72624035,1
264,5.020696,0.2,34.22633495,1
265,3.895234,0,34.22633495,1
266,5.074342,0.2,19.53055205,1
267,4.115078,0,19.84685092,0.8
268,3.238232,0.2,22.93576989,0.8
269,3.887736,0.2,22.42322259,0.8
270,2.051862,0.2,22.93576989,0.6
271,4.700112,0.2,23.59313498,1
272,5.653072,0,20.32692847,1
273,5.85648,0,8.112996244,1
274,5.67566,0,19.12790399,1
275,5.529906,0.2,20.00125751,1
276,5.654826,0,24.89266067,1
277,5.765184,0,11.17553883,1
278,5.482252,0.2,20.05217128,1
279,5.559516,0,28.36530366,1
280,4.01407,0,24.47069302,0.8
281,5.672044,0,23.0554389,1
282,5.80944,0,11.77042589,1
283,5.69645,0,18.61027389,1
284,5.326742,0.2,24.47401891,1
285,5.630934,0,22.93576989,1
286,5.494894,0,28.47151875,1
287,5.60924,0,23.39323692,1
288,3.914408,0,27.02409244,0.8
289,3.912142,0.4,27.82175312,1
290,5.695564,0,21.82763047,1
291,5.19007,0.2,14.45797701,1
292,3.968208,0,25.49199853,0.8
293,3.932992,0,32.02572384,0.8
294,5.787322,0,12.91491175,1
295,2.592,0.2,31.83784599,0.8
296,5.697852,0,19.65907197,1
297,4.125454,0,18.13578773,0.8
298,5.49625,0,27.35383954,1
299,5.526534,0.2,17.96428862,1
300,5.188032,0.2,15.8620553,1
