rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53615681813824E+018,3,5,"""ROBOT""",,1536156818,136861948,'',,1536156817,919348728,"""grasp""","""NeedsHelp""","""MayBeTired""",False,0,'','',[],'','',"""policy11.pomdpx""","""0""","""0""","[1.3321003438518276e-17, 1.5814378973022514e-10, 3.9843480649089383e-20, 3.9843480649089383e-20, 2.5300609436689934e-18, 1.0964704621682642e-12, 7.280719360736043e-10, 4.079897183983938e-11, 0.999992847442627, 7.130166068236576e-06]"
1.53615682198903E+018,3,6,"""ROBOT""",,1536156821,987835232,'',,1536156821,714786432,"""grasp""","""NeedsHelp""","""GlobalSuccess""",False,0,'','',[],'','',"""policy11.pomdpx""","""6""","""5.42352""","[1.3321003438518276e-17, 1.5814378973022514e-10, 3.9843480649089383e-20, 3.9843480649089383e-20, 2.5300609436689934e-18, 1.0964704621682642e-12, 7.280719360736043e-10, 4.079897183983938e-11, 0.999992847442627, 7.130166068236576e-06]"
1.53615683638958E+018,4,0,"""ROBOT""",,1536156836,387315056,'',,1536156836,384643278,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy3.pomdpx""","""6""","""5.42352""","[3.963281842658744e-19, 3.4589549106900375e-12, 2.0286849937490618e-24, 2.0286849937490618e-24, 1.2882150331534505e-22, 4.0435629189872636e-15, 3.7070773019213035e-14, 2.077335174130489e-15, 5.0915998144773766e-05, 0.9999490976333618]"
1.53615683640589E+018,4,1,"""ROBOT""",,1536156836,404828358,'',,1536156836,384643278,"""idle""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[3.963281842658744e-19, 3.4589549106900375e-12, 2.0286849937490618e-24, 2.0286849937490618e-24, 1.2882150331534505e-22, 4.0435629189872636e-15, 3.7070773019213035e-14, 2.077335174130489e-15, 5.0915998144773766e-05, 0.9999490976333618]"
1.5361568428677E+018,4,2,"""ROBOT""",,1536156842,866508328,'',,1536156842,696455830,"""planning for grasping""","""NoFocus""","""MayBeTired""",False,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[3.963281842658744e-19, 3.4589549106900375e-12, 2.0286849937490618e-24, 2.0286849937490618e-24, 1.2882150331534505e-22, 4.0435629189872636e-15, 3.7070773019213035e-14, 2.077335174130489e-15, 5.0915998144773766e-05, 0.9999490976333618]"
1.53615685036853E+018,4,3,"""ROBOT""",,1536156850,367389286,'',,1536156846,235639011,"""grasp""","""NeedsHelp""","""MayBeTired""",False,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[3.963281842658744e-19, 3.4589549106900375e-12, 2.0286849937490618e-24, 2.0286849937490618e-24, 1.2882150331534505e-22, 4.0435629189872636e-15, 3.7070773019213035e-14, 2.077335174130489e-15, 5.0915998144773766e-05, 0.9999490976333618]"
1.5361568540144E+018,4,4,"""ROBOT""",,1536156854,13158255,'',,1536156853,901277131,"""planning for grasping""","""MayBeTired""","""MayBeTired""",True,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[3.963281842658744e-19, 3.4589549106900375e-12, 2.0286849937490618e-24, 2.0286849937490618e-24, 1.2882150331534505e-22, 4.0435629189872636e-15, 3.7070773019213035e-14, 2.077335174130489e-15, 5.0915998144773766e-05, 0.9999490976333618]"
1.5361568574939E+018,4,5,"""ROBOT""",,1536156857,492703610,'',,1536156857,380743678,"""grasp""","""NeedsHelp""","""MayBeTired""",False,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[3.963281842658744e-19, 3.4589549106900375e-12, 2.0286849937490618e-24, 2.0286849937490618e-24, 1.2882150331534505e-22, 4.0435629189872636e-15, 3.7070773019213035e-14, 2.077335174130489e-15, 5.0915998144773766e-05, 0.9999490976333618]"
1.53615686077874E+018,4,6,"""ROBOT""",,1536156860,777193184,'',,1536156860,756119958,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,0,'','',[],'','',"""policy3.pomdpx""","""6""","""5.42352""","[3.963281842658744e-19, 3.4589549106900375e-12, 2.0286849937490618e-24, 2.0286849937490618e-24, 1.2882150331534505e-22, 4.0435629189872636e-15, 3.7070773019213035e-14, 2.077335174130489e-15, 5.0915998144773766e-05, 0.9999490976333618]"
1.53615687485871E+018,5,0,"""ROBOT""",,1536156874,856576589,'',,1536156874,853813359,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy3.pomdpx""","""6""","""5.42352""","[1.8127758415306168e-16, 3.4443405159262364e-12, 2.020113625583383e-24, 2.020113625583383e-24, 5.062016576842782e-21, 4.026478687957618e-15, 1.1111158867982418e-11, 2.068558430489277e-15, 0.004275773651897907, 0.9957242012023926]"
