task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,human_state,human_model,isEstimationCorrect,robot_model,immediate_reward,total_disc_reward,warning_received
18,1535823392,450488847,1535823405,354223477,"""point to remind""","""NeedsToBeReminded""","""TaskHuman""","""Evaluating""","""distracted_noncollaborative.POMDPx""",False,"""base.pomdpx""","""-1""","""-0.9604""",0
18,1535823392,450488847,1535823415,766176513,"""idle""","""GlobalSuccess""","""GlobalSuccess""","""Evaluating""","""distracted_noncollaborative.POMDPx""",True,"""base.pomdpx""","""6""","""4.68675""",0
19,1535823427,13707700,1535823428,188906040,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""distracted_noncollaborative.POMDPx""",True,"""base.pomdpx""","""6""","""4.68675""",0
19,1535823427,13707700,1535823434,550339379,"""planning for grasping""","""NoFocus""","""TaskHuman""","""Evaluating""","""distracted_noncollaborative.POMDPx""",False,"""base.pomdpx""","""0""","""0""",0
19,1535823427,13707700,1535823439,635454803,"""planning for grasping""","""NoFocus""","""NoFocus""","""NoAttention""","""distracted_noncollaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
19,1535823427,13707700,1535823444,421237555,"""idle""","""TaskHuman""","""NeedsToBeReminded""","""NoAttention""","""distracted_noncollaborative.POMDPx""",False,"""base.pomdpx""","""0""","""0""",0
19,1535823427,13707700,1535823449,154407886,"""planning for grasping""","""MayBeTired""","""TaskHuman""","""Evaluating""","""distracted_noncollaborative.POMDPx""",False,"""base.pomdpx""","""0""","""0""",0
19,1535823427,13707700,1535823459,739326831,"""idle""","""GlobalSuccess""","""GlobalSuccess""","""Evaluating""","""distracted_noncollaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.42352""",0
20,1535823470,488586585,1535823471,671911311,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""distracted_noncollaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.42352""",0
20,1535823470,488586585,1535823471,671911311,"""idle""","""TaskHuman""","""TaskHuman""","""Evaluating""","""distracted_noncollaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
20,1535823470,488586585,1535823481,921725238,"""idle""","""GlobalSuccess""","""GlobalSuccess""","""Evaluating""","""distracted_noncollaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.88""",0
21,1535823493,78921917,1535823494,297708574,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.88""",0
21,1535823493,78921917,1535823494,297708574,"""idle""","""TaskHuman""","""TaskHuman""","""Evaluating""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
21,1535823493,78921917,1535823504,684324220,"""idle""","""GlobalSuccess""","""GlobalSuccess""","""Evaluating""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.88""",0
22,1535823515,287397045,1535823516,475647509,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.88""",0
22,1535823515,287397045,1535823516,475647509,"""idle""","""TaskHuman""","""TaskHuman""","""Evaluating""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
22,1535823515,287397045,1535823526,812382123,"""idle""","""GlobalSuccess""","""GlobalSuccess""","""Evaluating""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.88""",0
23,1535823537,854880671,1535823539,40138665,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.88""",0
23,1535823537,854880671,1535823539,40138665,"""idle""","""TaskHuman""","""TaskHuman""","""Evaluating""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
23,1535823537,854880671,1535823543,747128130,"""idle""","""MayBeTired""","""WarningReceived""","""WarningTheRobot""","""expert_nontired_collaborative.POMDPx""",False,"""base.pomdpx""","""-3""","""-2.94""",1
23,1535823537,854880671,1535823557,984386087,"""planning for grasping""","""MayNotBeCapable""","""WarningReceived""","""WarningTheRobot""","""expert_nontired_collaborative.POMDPx""",False,"""base.pomdpx""","""0""","""-2.94""",0
23,1535823537,854880671,1535823562,374544341,"""planning for grasping""","""MayNotBeCapable""","""WarningReceived""","""WarningTheRobot""","""expert_nontired_collaborative.POMDPx""",False,"""base.pomdpx""","""0""","""-2.94""",0
23,1535823537,854880671,1535823567,602406437,"""grasp""","""NeedsHelp""","""WarningReceived""","""RobotInterfered""","""expert_nontired_collaborative.POMDPx""",False,"""base.pomdpx""","""-3""","""-5.7071""",1
23,1535823537,854880671,1535823571,329289361,"""planning for grasping""","""MayBeTired""","""WarningReceived""","""WarningTheRobot""","""expert_nontired_collaborative.POMDPx""",False,"""base.pomdpx""","""0""","""-5.7071""",0
23,1535823537,854880671,1535823575,667540708,"""cancel all actions""","""WarningReceived""","""NoNeedHelp""","""RobotIsWarned""","""expert_nontired_collaborative.POMDPx""",False,"""base.pomdpx""","""0""","""-5.7071""",0
23,1535823537,854880671,1535823580,278760969,"""planning for grasping""","""NoNeedHelp""","""MayBeTired""","""Tired""","""expert_nontired_collaborative.POMDPx""",False,"""base.pomdpx""","""0""","""-5.7071""",0
23,1535823537,854880671,1535823592,420505113,"""grasp""","""NeedsHelp""","""GlobalFail""","""Tired""","""expert_nontired_collaborative.POMDPx""",False,"""base.pomdpx""","""-3""","""-8.25939""",0
24,1535823602,684113198,1535823603,867441604,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""-3""","""-8.25939""",0
24,1535823602,684113198,1535823603,867441604,"""idle""","""TaskHuman""","""TaskHuman""","""Evaluating""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
24,1535823602,684113198,1535823608,791840783,"""planning for grasping""","""TaskHuman""","""TaskHuman""","""Evaluating""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
24,1535823602,684113198,1535823619,401939912,"""idle""","""GlobalSuccess""","""GlobalSuccess""","""Evaluating""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.7624""",0
25,1535823630,683188432,1535823631,830601525,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.7624""",0
25,1535823630,683188432,1535823631,830601525,"""idle""","""TaskHuman""","""TaskHuman""","""Evaluating""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
25,1535823630,683188432,1535823636,217072197,"""planning for grasping""","""TaskHuman""","""TaskHuman""","""Evaluating""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""0""","""0""",0
25,1535823630,683188432,1535823646,963790588,"""idle""","""GlobalSuccess""","""GlobalSuccess""","""Evaluating""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.7624""",0
26,1535823658,157850342,1535823659,336384237,"""idle""","""TaskHuman""","""TaskHuman""","""TaskHuman""","""expert_nontired_collaborative.POMDPx""",True,"""base.pomdpx""","""6""","""5.7624""",0
