rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward
1.53582282120399E+018,2,7,"""OBSERVATION""",,1535822821,202814226,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582282160379E+018,2,7,"""SENSORS""",,1535822821,603666962,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','',''
1.53582282282901E+018,2,7,"""HUMAN""",,1535822822,826747295,"""distracted_collaborative.POMDPx""",,1535822819,600485514,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','',''
1.53582282283503E+018,2,8,"""ROBOT""",,1535822822,834045515,'',,1535822822,488793660,"""planning for grasping""","""MayBeTired""","""GlobalSuccess""",False,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875"""
1.53582282284482E+018,2,8,"""HUMAN""",,1535822822,840870246,"""distracted_collaborative.POMDPx""",,1535822819,600485514,"""2""","""RobotInterfered""","""GlobalSuccess""",False,0,'','',[],'','','','',''
1.53582283319922E+018,3,0,"""MANAGER""",,1535822833,199056216,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582283438656E+018,3,0,"""ROBOT""",,1535822834,384753754,'',,1535822834,382540233,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875"""
1.5358228390041E+018,3,0,"""OBSERVATION""",,1535822839,2753601,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.53582284055636E+018,3,0,"""HUMAN""",,1535822840,553221086,"""distracted_collaborative.POMDPx""",,1535822834,75662486,"""1""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','',''
1.53582284056191E+018,3,1,"""ROBOT""",,1535822840,560888581,'',,1535822840,232105421,"""planning for grasping""","""NoFocus""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582284402099E+018,3,1,"""OBSERVATION""",,1535822844,19606133,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.53582284554687E+018,3,1,"""HUMAN""",,1535822845,544642947,"""distracted_collaborative.POMDPx""",,1535822841,622665799,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','',''
1.53582284555858E+018,3,2,"""ROBOT""",,1535822845,557515933,'',,1535822845,265373705,"""point to remind""","""NoFocus""","""TaskHuman""",False,0,'','',[],'','',"""base.pomdpx""","""-1""","""-0.9604"""
1.53582284858742E+018,3,2,"""OBSERVATION""",,1535822848,586156976,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.53582284997271E+018,3,2,"""HUMAN""",,1535822849,970282220,"""distracted_collaborative.POMDPx""",,1535822846,630290133,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','',''
